Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
32892,09/05/2014 04:09:00 AM,Friday,Auto,Pedestrian,,Massachusetts Ave,EVERETT ST,"Massachusetts Ave & EVERETT ST Cambridge, MA",42.3799896,-71.1199265,
29554,08/26/2013 09:05:00 PM,Monday,Auto,Pedestrian,,Massachusetts Ave,Albany St," Massachusetts Ave & Albany St Cambridge, MA",42.360828,-71.096012,
30413,02/17/2012 03:53:00 PM,Friday,Auto,Pedestrian,13,Tremont St,,"13 Tremont St Cambridge, MA",42.369516,-71.099659,
26523,09/21/2011 10:44:00 PM,Wednesday,Auto,Pedestrian,,Franklin St,PEARL ST," Franklin St & PEARL ST Cambridge, MA",42.363651,-71.103735,
29254,06/07/2013 06:59:00 PM,Friday,Auto,Pedestrian,465,Cambridge St,,"465 Cambridge St Cambridge, MA",42.371646,-71.083984,
26728,10/30/2011 12:45:00 PM,Sunday,Auto,Pedestrian,,PROSPECT ST,Bishop Allen Dr," PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.366343,-71.10316,
32723,09/22/2014 05:35:00 PM,Monday,Auto,Pedestrian,,KIRKLAND ST,QUINCY ST,"KIRKLAND ST & QUINCY ST Cambridge, MA",42.3766365,-71.1140823,
29784,10/17/2013 02:58:00 PM,Thursday,Auto,Pedestrian,1,White St,,"1 White St Cambridge, MA",42.389238,-71.119527,
24989,10/23/2010 10:50:00 PM,Saturday,Auto,Pedestrian,,Massachusetts Ave,PLYMPTON ST," Massachusetts Ave & PLYMPTON ST Cambridge, MA",42.372694,-71.116418,
28931,03/30/2013 09:56:00 AM,Saturday,Auto,Pedestrian,199,Alewife Brook Pky,,"199 Alewife Brook Pky Cambridge, MA",42.390054,-71.142243,
25798,03/30/2011 12:14:00 PM,Monday,Auto,Pedestrian,,Cambridge St,Hampshire St," Cambridge St & Hampshire St Cambridge, MA",42.373729,-71.100837,
30006,12/01/2013 02:36:00 PM,Sunday,Auto,Pedestrian,30,Brattle St,,"30 Brattle St Cambridge, MA",42.37314,-71.120664,
26302,08/04/2011 04:05:00 PM,Thursday,Bicycle,Pedestrian,183,PROSPECT ST,,"183 PROSPECT ST Cambridge, MA",42.36992,-71.100806,
25486,02/04/2011 03:04:00 PM,Friday,Auto,Pedestrian,,Massachusetts Ave,White St," Massachusetts Ave & White St Cambridge, MA",42.388676,-71.119242,
29771,10/13/2013 05:29:00 PM,Sunday,Auto,Pedestrian,2055,Massachusetts Ave,,"2055 Massachusetts Ave Cambridge, MA",42.391393,-71.122276,
28681,01/31/2013 02:00:00 PM,Thursday,Auto,Pedestrian,,Galileo Galilei Way,Broadway," Galileo Galilei Way & Broadway Cambridge, MA",42.364802,-71.089413,
26067,06/09/2011 03:45:00 PM,Thursday,Taxi,Pedestrian,515,Massachusetts Ave,,"515 Massachusetts Ave Cambridge, MA",42.364432,-71.101772,
29778,10/11/2013 12:00:00 AM,Friday,Auto,Pedestrian,,LINE ST,LEONARD AVE," LINE ST & LEONARD AVE Cambridge, MA",42.376318,-71.105368,
30321,01/25/2012 06:04:00 PM,Wednesday,Auto,Pedestrian,842,Massachusetts Ave,,"842 Massachusetts Ave Cambridge, MA",42.367296,-71.107019,
32533,08/13/2014 10:21:00 AM,Wednesday,Auto,Pedestrian,1146,Cambridge St,Norfolk St,"1146 Cambridge St Cambridge, MA",42.3731422,-71.0963135,
30026,12/07/2013 01:06:00 PM,Saturday,Auto,Pedestrian,1920,Massachusetts Ave,,"1920 Massachusetts Ave Cambridge, MA",42.389044,-71.119951,
31634,12/03/2012 08:35:00 AM,Saturday,Auto,Pedestrian,,FIELD ST,Alpine Pl," FIELD ST & Alpine Pl Cambridge, MA",42.3862,-71.136549,
26457,09/08/2011 03:00:00 AM,Thursday,Auto,Pedestrian,,KIRKLAND ST,Trowbridge St," KIRKLAND ST & Trowbridge St Cambridge, MA",42.377629,-71.109393,
29145,05/17/2013 03:14:00 PM,Friday,Auto,Pedestrian,,Broadway,Third St," Broadway & Third St Cambridge, MA",42.362667,-71.084325,
26879,12/02/2011 12:45:00 PM,Friday,Auto,Pedestrian,,MAIN ST,Portland St," MAIN ST & Portland St Cambridge, MA",42.362974,-71.093634,
29179,05/23/2013 10:05:00 PM,Thursday,Auto,Pedestrian,,Massachusetts Ave,PLYMOUTH ST," Massachusetts Ave & PLYMOUTH ST Cambridge, MA",42.372694,-71.116418,
29748,10/02/2013 01:19:00 PM,Wednesday,Auto,Pedestrian,,SOMERVILLE AVE,Massachusetts Ave," SOMERVILLE AVE & Massachusetts Ave Cambridge, MA",42.388965,-71.119695,
31555,11/11/2012 03:20:00 PM,Sunday,Auto,Pedestrian,545,Massachusetts Ave,,"545 Massachusetts Ave Cambridge, MA",42.36452,-71.102128,
26529,09/23/2011 09:49:00 AM,Friday,Taxi,Pedestrian,,Broadway,Windsor St," Broadway & Windsor St Cambridge, MA",42.367107,-71.095416,
25901,04/30/2011 09:00:00 AM,Wednesday,Auto,Pedestrian,189,Upland Rd,,"189 Upland Rd Cambridge, MA",42.386561,-71.126595,
26984,12/27/2011 09:00:00 PM,Tuesday,Auto,Pedestrian,,Massachusetts Ave,Landsdowne St," Massachusetts Ave & Landsdowne St Cambridge, MA",42.361746,-71.097556,
33205,12/18/2014 08:45:00 AM,Thursday,Auto,Pedestrian,,FIRST ST,Thorndike St,"FIRST ST & Thorndike St Cambridge, MA",42.3692551,-71.0772476,
31625,11/30/2012 02:48:00 PM,Friday,Auto,Pedestrian,,MASON ST,Brattle St," MASON ST & Brattle St Cambridge, MA",42.375986,-71.124614,
30562,03/21/2012 02:35:00 PM,Wednesday,Auto,Pedestrian,2254,Massachusetts Ave,,"2254 Massachusetts Ave Cambridge, MA",42.394062,-71.127055,
32687,09/15/2014 09:27:00 AM,Monday,Truck,Pedestrian,,Putnam Ave,Magee St,"Putnam Ave & Magee St Cambridge, MA",42.366394,-71.1135559,
31796,02/13/2014 03:01:00 PM,Thursday,Auto,Pedestrian,,Broadway,Crawford St,"Broadway & Crawford St Cambridge, MA",42.3716087,-71.1068192,
32248,05/20/2014 12:27:00 PM,Tuesday,Auto,Pedestrian,699,MOUNT AUBURN ST,HOMER AVE,"699 MOUNT AUBURN ST Cambridge, MA",42.3747215,-71.1494598,
28922,03/28/2013 12:20:00 PM,Thursday,Auto,Pedestrian,,River St,Auburn St," River St & Auburn St Cambridge, MA",42.364574,-71.106688,
29080,05/04/2013 01:19:00 PM,Saturday,Motorcycle,Pedestrian,1256,Massachusetts Ave,,"1256 Massachusetts Ave Cambridge, MA",42.372549,-71.116292,
25054,11/09/2010 06:01:00 PM,Tuesday,Auto,Pedestrian,,Walden St,Richdale Ave," Walden St & Richdale Ave Cambridge, MA",42.388942,-71.125,
32012,03/29/2014 09:36:00 PM,Tuesday,Auto,Pedestrian,,Leighton,North Point Blvd,"Leighton & North Point Blvd Cambridge, MA",42.3710289,-71.0729218,
25979,05/21/2011 10:48:00 AM,Saturday,Auto,Pedestrian,173,Cambridge St,,"173 Cambridge St Cambridge, MA",42.371033,-71.078758,
30435,02/23/2012 09:02:00 AM,Thursday,Auto,Pedestrian,125,Vassar St,,"125 Vassar St Cambridge, MA",42.359251,-71.096935,
30193,01/24/2014 03:01:00 PM,Friday,Auto,Pedestrian,13,GARDNER RD,,"13 GARDNER RD Cambridge, MA",42.3708878,-71.099884,
26324,08/09/2011 01:30:00 PM,Tuesday,Auto,Pedestrian,,FRANCIS AVE,River St," FRANCIS AVE & River St Cambridge, MA",42.363569,-71.109686,
30691,05/03/2012 07:44:00 AM,Thursday,Auto,Pedestrian,,JFK St,MOUNT AUBURN ST," JFK St & MOUNT AUBURN ST Cambridge, MA",42.372566,-71.120145,
30705,05/05/2012 01:54:00 PM,Saturday,Auto,Pedestrian,1878,Massachusetts Ave,,"1878 Massachusetts Ave Cambridge, MA",42.388283,-71.119617,
31794,02/13/2014 01:40:00 PM,Thursday,Auto,Pedestrian,,Cardinal Medeiros Ave,Cambridge St,"Cardinal Medeiros Ave & Cambridge St Cambridge, MA",42.3721237,-71.0884552,
32597,08/28/2014 11:49:00 AM,Thursday,Auto,Pedestrian,,GREEN ST,Western Ave,"GREEN ST & Western Ave Cambridge, MA",42.3652687,-71.1050262,
32738,09/25/2014 07:15:00 AM,Thursday,Auto,Pedestrian,100,Landsdowne St,,"100 Landsdowne St Cambridge, MA",42.3600845,-71.1013489,
28678,01/31/2013 07:15:00 AM,Thursday,Auto,Pedestrian,14,Cambridge St,Binney St,"14 Cambridge St Cambridge, MA",42.372861,-71.09455,
32167,05/15/2014 11:00:00 AM,Thursday,Pedestrian,Auto,,Massachusetts Ave,Brookline St,"Massachusetts Ave & Brookline St Cambridge, MA",42.3640137,-71.101387,
32352,06/30/2014 02:10:00 PM,Monday,Auto,Pedestrian,,JFK St,MOUNT AUBURN ST,"JFK St & MOUNT AUBURN ST Cambridge, MA",42.3725662,-71.1201477,
29126,05/14/2013 05:46:00 PM,Tuesday,Bicycle,Pedestrian,1401,Massachusetts Ave,,"1401 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,
32492,07/31/2014 03:10:00 AM,Thursday,Auto,Pedestrian,,Massachusetts Ave,Peabody St,"Massachusetts Ave & Peabody St Cambridge, MA",42.3740692,-71.1188354,
28650,01/25/2013 03:00:00 PM,Friday,Auto,Pedestrian,,Massachusetts Ave,DAY ST," Massachusetts Ave & DAY ST Cambridge, MA",42.393961,-71.126382,
25326,01/13/2011 11:15:00 AM,Thursday,Auto,Pedestrian,186-,Alewife Brook Pky,,"186- Alewife Brook Pky Cambridge, MA",42.391032,-71.14135,
28981,04/11/2013 10:54:00 PM,Thursday,Truck,Pedestrian,1400,Massachusetts Ave,,"1400 Massachusetts Ave Cambridge, MA",42.373643,-71.119357,
26815,11/16/2011 06:30:00 PM,Wednesday,Auto,Pedestrian,340,River St,,"340 River St Cambridge, MA",42.361142,-71.114151,
25157,12/04/2010 06:00:00 PM,Saturday,Pedestrian,Bicycle,,Massachusetts Ave,Temple St," Massachusetts Ave & Temple St Cambridge, MA",42.365973,-71.104675,
33154,12/09/2014 06:15:00 AM,Tuesday,Auto,Pedestrian,,Massachusetts Ave,Landsdowne St,"Massachusetts Ave & Landsdowne St Cambridge, MA",42.3617439,-71.0975571,
30403,02/15/2012 04:25:00 PM,Wednesday,Auto,Pedestrian,151,Washington Ave,,"151 Washington Ave Cambridge, MA",42.364781,-71.095639,
24982,10/25/2010 10:50:00 PM,Monday,Auto,Pedestrian,,Brattle St,Church St," Brattle St & Church St Cambridge, MA",42.37395,-71.121481,
25366,01/18/2011 08:23:00 PM,Tuesday,Auto,Pedestrian,,Massachusetts Ave,MAGAZINE ST," Massachusetts Ave & MAGAZINE ST Cambridge, MA",42.365574,-71.103991,
25954,05/13/2011 09:08:00 AM,Friday,Taxi,Pedestrian,,Massachusetts Ave,Upland Rd," Massachusetts Ave & Upland Rd Cambridge, MA",42.388173,-71.119415,
25545,02/10/2011 10:30:00 AM,Thursday,Auto,Pedestrian,,Massachusetts Ave,PLEASANT ST," Massachusetts Ave & PLEASANT ST Cambridge, MA",42.366408,-71.105392,
32910,11/06/2014 09:30:00 AM,Thursday,Auto,Pedestrian,60,Vassar St,,"60 Vassar St Cambridge, MA",42.3607597,-71.0936432,
26369,08/19/2011 06:01:00 PM,Friday,Auto,Pedestrian,,Columbia St,Bishop Allen Dr," Columbia St & Bishop Allen Dr Cambridge, MA",42.364154,-71.099474,
29091,05/07/2013 03:24:00 PM,Tuesday,Auto,Pedestrian,,Rindge Ave,Yerxa Rd," Rindge Ave & Yerxa Rd Cambridge, MA",42.392997,-71.129116,
29181,05/24/2013 04:59:00 PM,Friday,Auto,Pedestrian,260,GREEN ST,,"260 GREEN ST Cambridge, MA",42.364317,-71.103566,
29988,11/24/2013 02:00:00 PM,Sunday,Auto,Pedestrian,,Vincent St,Upland Rd," Vincent St & Upland Rd Cambridge, MA",42.386854,-71.125397,
29169,05/22/2013 11:55:00 AM,Wednesday,Auto,Pedestrian,,PLEASANT ST,Chestnut St," PLEASANT ST & Chestnut St Cambridge, MA",42.359411,-71.113571,
25213,12/14/2010 08:33:00 PM,Tuesday,Auto,Pedestrian,,Cambridge St,Dana St," Cambridge St & Dana St Cambridge, MA",42.374529,-71.107034,
25026,10/30/2010 09:00:00 AM,Saturday,Auto,Pedestrian,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,
33176,12/13/2014 09:48:00 PM,Saturday,Auto,Pedestrian,,JFK St,Winthrop St,"JFK St & Winthrop St Cambridge, MA",42.3721542,-71.120491,
25293,01/05/2011 04:44:00 PM,Wednesday,Motorcycle,Pedestrian,,Massachusetts Ave,Amherst St," Massachusetts Ave & Amherst St Cambridge, MA",42.358188,-71.093089,
31514,11/02/2012 07:03:00 AM,Friday,Auto,Pedestrian,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,
26735,11/02/2011 01:09:00 PM,Wednesday,Auto,Pedestrian,,Trowbridge St,Cambridge St," Trowbridge St & Cambridge St Cambridge, MA",42.374918,-71.11006,
26869,11/30/2011 10:25:00 AM,Wednesday,Auto,Pedestrian,860,Massachusetts Ave,,"860 Massachusetts Ave Cambridge, MA",42.367482,-71.107324,
30056,12/12/2013 05:30:00 PM,Thursday,Auto,Pedestrian,,Broadway,Trowbridge Pl," Broadway & Trowbridge Pl Cambridge, MA",42.373196,-71.110836,
33137,12/02/2014 05:50:00 PM,Tuesday,Auto,Pedestrian,330,MOUNT AUBURN ST,Channing St,"330 MOUNT AUBURN ST Cambridge, MA",42.3749542,-71.1347198,
26450,09/05/2011 02:49:00 PM,Monday,Auto,Pedestrian,,Massachusetts Ave,Alewife Brook Pky," Massachusetts Ave & Alewife Brook Pky Cambridge, MA",42.400935,-71.135995,
33170,12/16/2014 09:33:00 AM,Tuesday,Auto,Pedestrian,,PROSPECT ST,Bishop Allen Dr,"PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.3663445,-71.103157,
28659,01/27/2013 01:44:00 AM,Sunday,Auto,Pedestrian,,Massachusetts Ave,DOUGLASS ST," Massachusetts Ave & DOUGLASS ST Cambridge, MA",42.363897,-71.10119,
25853,04/14/2011 07:15:00 AM,,Auto,Pedestrian,,River St,MEMORIAL DR," River St & MEMORIAL DR Cambridge, MA",42.361462,-71.115963,
25723,03/14/2011 08:30:00 PM,Monday,Auto,Pedestrian,,MAIN ST,Galileo Galilei Way," MAIN ST & Galileo Galilei Way Cambridge, MA",42.362717,-71.089961,
30098,12/22/2013 09:18:00 PM,Sunday,Auto,Pedestrian,,Beech St,ELM ST," Beech St & ELM ST Cambridge, MA",42.39151,-71.119059,
30661,04/10/2012 03:10:00 PM,Tuesday,Auto,Pedestrian,,Cambridge St,Second St," Cambridge St & Second St Cambridge, MA",42.370859,-71.078595,
25126,11/29/2010 07:15:00 PM,Monday,Auto,Pedestrian,,Cambridge St,ELLERY ST," Cambridge St & ELLERY ST Cambridge, MA",42.374698,-71.108336,
30914,06/13/2012 11:15:00 AM,Wednesday,Auto,Pedestrian,,HURLEY ST,FIRST ST," HURLEY ST & FIRST ST Cambridge, MA",42.367908,-71.077563,
28611,01/12/2013 07:25:00 PM,Saturday,Auto,Pedestrian,,Broadway,Galileo Galilei Way," Broadway & Galileo Galilei Way Cambridge, MA",42.364812,-71.089386,
28754,02/15/2013 02:42:00 PM,Friday,Auto,Pedestrian,,Albany St,MASSACHUSETTS  AVE BRDG," Albany St & MASSACHUSETTS  AVE BRDG Cambridge, MA",42.360828,-71.096012,
25889,04/26/2011 07:18:00 PM,,Auto,Pedestrian,355,Binney St,,"355 Binney St Cambridge, MA",42.367297,-71.089677,
28932,03/30/2013 06:59:00 PM,Saturday,Auto,Pedestrian,,Rindge Ave,Haskell St," Rindge Ave & Haskell St Cambridge, MA",42.392608,-71.127547,
31676,12/08/2012 07:40:00 PM,Saturday,Auto,Pedestrian,,GARDEN ST,Chauncy Ln," GARDEN ST & Chauncy Ln Cambridge, MA",42.378966,-71.124162,
30533,03/22/2012 12:00:00 AM,Thursday,Auto,Pedestrian,,Third St,Rogers St," Third St & Rogers St Cambridge, MA",42.366388,-71.082001,
28967,04/06/2013 02:16:00 AM,Saturday,Auto,Pedestrian,,PROSPECT ST,Hampshire St," PROSPECT ST & Hampshire St Cambridge, MA",42.372202,-71.098975,
29961,11/20/2013 12:00:00 AM,Wednesday,Auto,Pedestrian,,Cedar St,NORRIS ST," Cedar St & NORRIS ST Cambridge, MA",42.39474,-71.130831,
29088,05/06/2013 07:59:00 PM,Monday,Auto,Pedestrian,,MAIN ST,Sidney St," MAIN ST & Sidney St Cambridge, MA",42.363415,-71.099417,
30511,03/16/2012 04:47:00 PM,Friday,Auto,Pedestrian,,GREEN ST,Sidney St," GREEN ST & Sidney St Cambridge, MA",42.362384,-71.100192,
30162,01/15/2014 12:43:00 PM,Wednesday,Auto,Pedestrian,,Broadway,Inman Sq,"Broadway & Inman Sq Cambridge, MA",42.3700714,-71.1029358,
24811,09/23/2010 05:06:00 PM,Thursday,Auto,Pedestrian,,KINNAIRD ST,HANCOCK ST," KINNAIRD ST & HANCOCK ST Cambridge, MA",42.366803,-71.110418,
29544,08/22/2013 02:04:00 PM,Thursday,Auto,Pedestrian,,JFK St,Brattle St," JFK St & Brattle St Cambridge, MA",42.372774,-71.120658,
28623,01/17/2013 11:57:00 AM,Thursday,School Bus,Pedestrian,119,Windsor St,,"119 Windsor St Cambridge, MA",42.364486,-71.096737,
24744,09/11/2010 01:47:00 AM,Saturday,Auto,Pedestrian,9,Linden St,,"9 Linden St Cambridge, MA",42.372365,-71.117433,
25230,12/20/2010 11:39:00 AM,Monday,Auto,Pedestrian,600,Massachusetts Ave,,"600 Massachusetts Ave Cambridge, MA",42.36492,-71.103228,
26506,09/18/2011 03:45:00 PM,Sunday,Auto,Pedestrian,275,FRESH POND PKY,,"275 FRESH POND PKY Cambridge, MA",42.383769,-71.141606,
26962,12/20/2011 03:30:00 PM,Tuesday,Auto,Pedestrian,,Massachusetts Ave,HARVARD YARD," Massachusetts Ave & HARVARD YARD Cambridge, MA",42.374384,-71.118788,
29956,11/19/2013 03:21:00 PM,Tuesday,Auto,Pedestrian,,Blackstone St,Western Ave," Blackstone St & Western Ave Cambridge, MA",42.364405,-71.11482,
31100,08/04/2012 11:46:00 AM,Saturday,Auto,Pedestrian,,ELM ST,LINCOLN ST," ELM ST & LINCOLN ST Cambridge, MA",42.371664,-71.096164,
29142,05/16/2013 04:48:00 PM,Thursday,Auto,Pedestrian,,ROCKINGHAM ST,GRANITE ST," ROCKINGHAM ST & GRANITE ST Cambridge, MA",42.355591,-71.111313,
32337,06/26/2014 08:50:00 PM,Thursday,Auto,Pedestrian,,GARDEN ST,Massachusetts Ave,"GARDEN ST & Massachusetts Ave Cambridge, MA",42.3754883,-71.1199188,
25002,10/28/2010 08:29:00 AM,Thursday,Auto,Pedestrian,,HURON AVE,GURNEY ST," HURON AVE & GURNEY ST Cambridge, MA",42.381226,-71.138323,
