Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
30334,01/30/2012 12:04:00 PM,Monday,Auto,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,
33071,11/22/2014 06:12:00 PM,Saturday,Auto,Pedestrian,,MOUNT AUBURN ST,DUNSTER ST,"MOUNT AUBURN ST & DUNSTER ST Cambridge, MA",42.3722534,-71.119339,
26108,06/17/2011 12:04:00 PM,Friday,Auto,Pedestrian,,GREEN ST,MAGAZINE ST," GREEN ST & MAGAZINE ST Cambridge, MA",42.365012,-71.104586,
32069,04/24/2014 01:44:00 PM,Thursday,Auto,Pedestrian,,Massachusetts Ave,Norfolk St,"Massachusetts Ave & Norfolk St Cambridge, MA",42.3644257,-71.1020813,
31545,11/08/2012 12:30:00 PM,Thursday,Auto,Pedestrian,,HARVARD ST,Columbia St," HARVARD ST & Columbia St Cambridge, MA",42.366993,-71.097861,
32958,10/02/2014 09:55:00 PM,Thursday,Auto,Pedestrian,,MOUNT AUBURN ST,Sparks St,"MOUNT AUBURN ST & Sparks St Cambridge, MA",42.3746986,-71.1305847,
31242,09/05/2012 01:44:00 PM,Wednesday,Taxi,Pedestrian,,Massachusetts Ave,ESSEX ST," Massachusetts Ave & ESSEX ST Cambridge, MA",42.36508,-71.10318,
30093,12/22/2013 11:23:00 AM,Sunday,Auto,Pedestrian,66,SHERMAN ST,,"66 SHERMAN ST Cambridge, MA",42.38751,-71.131557,
30954,06/27/2012 07:50:00 AM,Wednesday,Auto,Pedestrian,,Massachusetts Ave,Washburn Ave," Massachusetts Ave & Washburn Ave Cambridge, MA",42.398824,-71.131961,
32143,05/09/2014 12:00:00 AM,Friday,Auto,Pedestrian,25,Winter St,,"25 Winter St Cambridge, MA",42.3725128,-71.0804596,
32903,09/18/2014 05:47:00 PM,Thursday,Auto,Pedestrian,,PROSPECT ST,Hampshire St,"PROSPECT ST & Hampshire St Cambridge, MA",42.3722038,-71.0989761,
31623,11/30/2012 11:26:00 AM,Friday,Auto,Pedestrian,196,PROSPECT ST,,"196 PROSPECT ST Cambridge, MA",42.370164,-71.100282,
32381,07/03/2014 10:30:00 PM,Thursday,Auto,Pedestrian,,Cambridge St,Antrim St,"Cambridge St & Antrim St Cambridge, MA",42.3737793,-71.1012344,
31638,12/04/2012 09:46:00 PM,Tuesday,Auto,Pedestrian,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,
25848,04/13/2011 08:49:00 AM,,Auto,Pedestrian,721,Cambridge St,Cardinal Medeiros Ave,"721 Cambridge St Cambridge, MA",42.372221,-71.08849,
25568,02/11/2011 02:54:00 PM,Friday,Auto,Pedestrian,1742,Massachusetts Ave,,"1742 Massachusetts Ave Cambridge, MA",42.368925,-71.110257,
25675,03/03/2011 11:15:00 AM,Thursday,Auto,Pedestrian,1621,Cambridge St,,"1621 Cambridge St Cambridge, MA",42.374873,-71.109046,
28961,04/05/2013 01:05:00 PM,Friday,Auto,Pedestrian,,HURON AVE,GARDEN ST," HURON AVE & GARDEN ST Cambridge, MA",42.383859,-71.129311,
31684,12/08/2012 07:15:00 PM,Saturday,Auto,Pedestrian,,Chauncy St,GARDEN ST," Chauncy St & GARDEN ST Cambridge, MA",42.378969,-71.124176,
25348,01/17/2011 11:26:00 AM,Monday,Auto,Pedestrian,,PROSPECT ST,Bishop Allen Dr," PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.366343,-71.10316,
31046,07/24/2012 02:29:00 PM,Tuesday,Taxi,Pedestrian,,Cambridge St,Warren Pl," Cambridge St & Warren Pl Cambridge, MA",42.372102,-71.088276,
30625,04/08/2012 02:19:00 AM,,Auto,Pedestrian,625,Massachusetts Ave,,"625 Massachusetts Ave Cambridge, MA",42.365455,-71.103484,
28984,04/13/2013 05:39:00 PM,Saturday,Auto,Pedestrian,,Concord Ave,MOULTON ST," Concord Ave & MOULTON ST Cambridge, MA",42.389615,-71.148119,
26005,05/26/2011 12:00:00 PM,Thursday,Auto,Pedestrian,351,Massachusetts Ave,,"351 Massachusetts Ave Cambridge, MA",42.362817,-71.099075,
29921,10/05/2013 11:00:00 PM,Saturday,Auto,Pedestrian,,Massachusetts Ave,PLYMPTON ST," Massachusetts Ave & PLYMPTON ST Cambridge, MA",42.372694,-71.116418,
32070,04/24/2014 08:32:00 AM,Thursday,Auto,Pedestrian,,FIRST ST,Cambridgeside Pl,"FIRST ST & Cambridgeside Pl Cambridge, MA",42.3672295,-71.0777206,
30991,07/07/2012 07:57:00 AM,,Auto,Pedestrian,,Massachusetts Ave,Russell St," Massachusetts Ave & Russell St Cambridge, MA",42.391769,-71.12387,
26654,10/18/2011 06:33:00 PM,Tuesday,Auto,Pedestrian,,Massachusetts Ave,Churchill Ave," Massachusetts Ave & Churchill Ave Cambridge, MA",42.399821,-71.133489,
29852,10/28/2013 10:30:00 AM,Monday,Auto,Pedestrian,,MAGAZINE ST,Auburn St," MAGAZINE ST & Auburn St Cambridge, MA",42.363987,-71.105712,
26494,09/16/2011 12:00:00 PM,Friday,Auto,Pedestrian,,Broadway,Inman St," Broadway & Inman St Cambridge, MA",42.370072,-71.102933,
28986,04/12/2013 04:24:00 PM,Friday,Auto,Pedestrian,,DUNSTER ST,MOUNT AUBURN ST," DUNSTER ST & MOUNT AUBURN ST Cambridge, MA",42.372252,-71.119339,
32273,06/05/2014 05:43:00 PM,Thursday,Auto,Pedestrian,1735,Massachusetts Ave,,"1735 Massachusetts Ave Cambridge, MA",42.3843346,-71.1194534,
25965,05/16/2011 04:06:00 PM,Monday,Auto,Pedestrian,,Walden St,Vassal Ln," Walden St & Vassal Ln Cambridge, MA",42.38252,-71.135539,
32141,05/10/2014 04:19:00 PM,Saturday,Auto,Pedestrian,,Massachusetts Ave,ESSEX ST,"Massachusetts Ave & ESSEX ST Cambridge, MA",42.365078,-71.1031799,
28906,03/20/2013 08:00:00 PM,Wednesday,Auto,Pedestrian,,HARVARD ST,Norfolk St," HARVARD ST & Norfolk St Cambridge, MA",42.367566,-71.099659,
29783,10/17/2013 03:56:00 PM,Thursday,Pedestrian,Bicycle,,Hampshire St,Cambridge St," Hampshire St & Cambridge St Cambridge, MA",42.373729,-71.100837,
28872,03/13/2013 12:49:00 PM,Wednesday,Auto,Pedestrian,,Broadway,LEE ST," Broadway & LEE ST Cambridge, MA",42.370823,-71.104839,
29678,09/25/2013 12:00:00 PM,Wednesday,Auto,Pedestrian,425,Massachusetts Ave,,"425 Massachusetts Ave Cambridge, MA",42.363664,-71.100482,
26765,11/04/2011 05:29:00 PM,Friday,Auto,Pedestrian,,ELIOT ST,MOUNT AUBURN ST," ELIOT ST & MOUNT AUBURN ST Cambridge, MA",42.372869,-71.1214,
31575,11/17/2012 12:59:00 PM,Saturday,Auto,Pedestrian,699,MOUNT AUBURN ST,,"699 MOUNT AUBURN ST Cambridge, MA",42.375057,-71.148745,
33123,12/05/2014 11:48:00 PM,Friday,Auto,Pedestrian,,Albany St,Massachusetts Ave,"Albany St & Massachusetts Ave Cambridge, MA",42.3608284,-71.0960159,
25103,11/23/2010 05:35:00 PM,Tuesday,Auto,Pedestrian,,Cardinal Medeiros Ave,Hampshire St," Cardinal Medeiros Ave & Hampshire St Cambridge, MA",42.366289,-71.091796,
26910,12/09/2011 02:00:00 PM,Friday,Auto,Pedestrian,2254,Massachusetts Ave,,"2254 Massachusetts Ave Cambridge, MA",42.394062,-71.127055,
30553,03/27/2012 04:50:00 PM,Tuesday,Bus (Other),Pedestrian,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,
29599,09/08/2013 05:15:00 PM,Sunday,Auto,Pedestrian,,Cambridge St,Cardinal Medeiros Ave," Cambridge St & Cardinal Medeiros Ave Cambridge, MA",42.372123,-71.088456,
26615,10/13/2011 09:14:00 AM,Thursday,Auto,Pedestrian,,Western Ave,Blackstone St," Western Ave & Blackstone St Cambridge, MA",42.364405,-71.11482,
30764,05/17/2012 01:05:00 PM,Thursday,Auto,Pedestrian,,MOUNT AUBURN PL,PLYMPTON ST," MOUNT AUBURN PL & PLYMPTON ST Cambridge, MA",42.371412,-71.117053,
